datetime,market_date,hour,weekday,month,is_weekend,is_holiday,lag_1,lag_2,lag_24,lag_48,lag_168,predicted_smp
2025-01-01 01:00:00,2025-01-01,1,2,1,0,1,92.53,92.53,84.86,81.11,103.43,87.89792083071761
2025-01-01 02:00:00,2025-01-01,2,2,1,0,1,87.89792083071761,92.53,81.4,79.03,92.54,81.3003329115623
2025-01-01 03:00:00,2025-01-01,3,2,1,0,1,81.3003329115623,87.89792083071761,80.48,79.03,92.15,74.4145429986277
2025-01-01 04:00:00,2025-01-01,4,2,1,0,1,74.4145429986277,81.3003329115623,80.48,79.03,91.63,74.4565131210631
2025-01-01 05:00:00,2025-01-01,5,2,1,0,1,74.4565131210631,74.4145429986277,80.48,79.03,91.82,75.78297218640355
2025-01-01 06:00:00,2025-01-01,6,2,1,0,1,75.78297218640355,74.4565131210631,80.48,79.03,91.89,78.23324979337691
2025-01-01 07:00:00,2025-01-01,7,2,1,0,1,78.23324979337691,75.78297218640355,83.85,81.11,92.38,78.69168194542517
2025-01-01 08:00:00,2025-01-01,8,2,1,0,1,78.69168194542517,78.23324979337691,92.53,92.64,117.23,83.74193359030019
2025-01-01 09:00:00,2025-01-01,9,2,1,0,1,83.74193359030019,78.69168194542517,142.95,142.95,118.82,96.27175556203187
2025-01-01 10:00:00,2025-01-01,10,2,1,0,1,96.27175556203187,83.74193359030019,158.05,164.91,123.24,98.8342237938117
2025-01-01 11:00:00,2025-01-01,11,2,1,0,1,98.8342237938117,96.27175556203187,131.37,160.05,145.72,96.88782179123004
2025-01-01 12:00:00,2025-01-01,12,2,1,0,1,96.88782179123004,98.8342237938117,127.59,154.79,143.84,91.52060303571423
2025-01-01 13:00:00,2025-01-01,13,2,1,0,1,91.52060303571423,96.88782179123004,122.66,137.81,118.83,86.46708010048579
2025-01-01 14:00:00,2025-01-01,14,2,1,0,1,86.46708010048579,91.52060303571423,122.66,137.72,118.83,90.23945656359254
2025-01-01 15:00:00,2025-01-01,15,2,1,0,1,90.23945656359254,86.46708010048579,122.66,137.63,118.81,96.14900922984074
2025-01-01 16:00:00,2025-01-01,16,2,1,0,1,96.14900922984074,90.23945656359254,122.66,157.72,118.81,99.97261711234272
2025-01-01 17:00:00,2025-01-01,17,2,1,0,1,99.97261711234272,96.14900922984074,122.85,137.16,118.83,110.53064650138695
2025-01-01 18:00:00,2025-01-01,18,2,1,0,1,110.53064650138695,99.97261711234272,122.99,141.2,118.84,120.19195392787428
2025-01-01 19:00:00,2025-01-01,19,2,1,0,1,120.19195392787428,110.53064650138695,123.06,132.59,118.37,127.21458855557732
2025-01-01 20:00:00,2025-01-01,20,2,1,0,1,127.21458855557732,120.19195392787428,109.49,122.57,116.07,124.9217192064793
2025-01-01 21:00:00,2025-01-01,21,2,1,0,1,124.9217192064793,127.21458855557732,92.53,115.43,102.67,117.52240426303756
2025-01-01 22:00:00,2025-01-01,22,2,1,0,1,117.52240426303756,124.9217192064793,92.53,92.96,102.3,113.35573652077913
2025-01-01 23:00:00,2025-01-01,23,2,1,0,1,113.35573652077913,117.52240426303756,92.53,92.64,102.0,110.89403898432096
2025-01-02 00:00:00,2025-01-01,24,2,1,0,1,110.89403898432096,113.35573652077913,92.53,92.64,102.17,110.27013404138998
